# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
0.000000000000000000e+00 -1.000000000000000000e+00 1.845533688046828269e+00 5.927914252876480966e-02 1.185582850575296193e-01 2.434730837870272835e-01 4.869461675740545670e-01 5.087403841030170071e+00 1.017480768206034014e+01 2.255527397534813794e+00 4.511054795069627588e+00 5.146682983558934943e+00 1.029336596711786989e+01 2.268630199825201643e+00 4.537260399650403286e+00
0.000000000000000000e+00 -9.859719438877755371e-01 1.845535922852382438e+00 5.927819932028854238e-02 1.185563986405770848e-01 2.434711467921579775e-01 4.869422935843159550e-01 5.008183950781738503e+00 1.001636790156347701e+01 2.237897216313058824e+00 4.475794432626117647e+00 5.067462150102026719e+00 1.013492430020405344e+01 2.251102429944498606e+00 4.502204859888997213e+00
0.000000000000000000e+00 -9.719438877755510742e-01 1.845538158388706940e+00 5.927725556218993441e-02 1.185545111243798688e-01 2.434692086531476118e-01 4.869384173062952237e-01 4.920501780339937348e+00 9.841003560679874695e+00 2.218220408422016288e+00 4.436440816844032575e+00 4.979779035902127227e+00 9.959558071804254453e+00 2.231541851703016555e+00 4.463083703406033109e+00
3.867616328634674305e-01 -9.579158316633266113e-01 1.845540394655745819e+00 5.927631125449526334e-02 1.185526225089905267e-01 2.434672693700228319e-01 4.869345387400456637e-01 4.840421540312462412e+00 9.680843080624924823e+00 2.200095802530531053e+00 4.400191605061062106e+00 4.899697851566958029e+00 9.799395703133916058e+00 2.213526112691458270e+00 4.427052225382916539e+00
0.000000000000000000e+00 -9.438877755511021483e-01 1.845542631653438015e+00 5.927536639723024470e-02 1.185507327944604894e-01 2.434653289428091172e-01 4.869306578856182344e-01 4.752021808179146767e+00 9.504043616358293534e+00 2.179913257030918317e+00 4.359826514061836633e+00 4.811297174576377067e+00 9.622594349152754134e+00 2.193466930358508371e+00 4.386933860717016742e+00
0.000000000000000000e+00 -9.298597194388777964e-01 1.845544869381721131e+00 5.927442099042073281e-02 1.185488419808414656e-01 2.434633873715321695e-01 4.869267747430643389e-01 4.676244025128995396e+00 9.352488050257990793e+00 2.162462491034005119e+00 4.324924982068010237e+00 4.735518446119415970e+00 9.471036892238831939e+00 2.176124639380616177e+00 4.352249278761232354e+00
0.000000000000000000e+00 -9.158316633266533335e-01 1.845547107840534773e+00 5.927347503409417101e-02 1.185469500681883420e-01 2.434614446562210210e-01 4.869228893124420421e-01 4.596647736347231117e+00 9.193295472694462234e+00 2.143979416026942975e+00 4.287958832053885949e+00 4.655921211381325087e+00 9.311842422762650173e+00 2.157758376505888087e+00 4.315516753011776174e+00
1.520293686445143289e+00 -9.018036072144288706e-01 1.845549347029820098e+00 5.927252852827445684e-02 1.185450570565489137e-01 2.434595007968973490e-01 4.869190015937946980e-01 4.521534894523444592e+00 9.043069789046889184e+00 2.126390108734388384e+00 4.252780217468776769e+00 4.580807423051719063e+00 9.161614846103438126e+00 2.140282089597471682e+00 4.280564179194943364e+00
2.326457083126067360e+00 -8.877755511022044077e-01 1.845551586949513156e+00 5.927158147298910301e-02 1.185431629459782060e-01 2.434575557935902412e-01 4.869151115871804825e-01 4.442321183874468282e+00 8.884642367748936564e+00 2.107681471160779640e+00 4.215362942321559281e+00 4.501592765347457004e+00 9.003185530694914007e+00 2.121695728738561826e+00 4.243391457477123652e+00
0.000000000000000000e+00 -8.737474949899799448e-01 1.845553827599555330e+00 5.927063386826380426e-02 1.185412677365276085e-01 2.434556096463250663e-01 4.869112192926501326e-01 4.364931713712963735e+00 8.729863427425927469e+00 2.089241899281403025e+00 4.178483798562806051e+00 4.424202347581227102e+00 8.848404695162454203e+00 2.103378793175691097e+00 4.206757586351382194e+00
