# position velocity action_std action_loc_std action_std_diff action_mean_p_0 action_p_0_mean action_p_0_std
-2.000000000000000000e+00 -3.000000000000000000e+00 7.536689972341650279e-01 5.891824844647024495e-01 1.644865127694625784e-01 9.083726606801008074e-01 8.236009322183840409e-01 2.045603901398228008e-01
-1.750000000000000000e+00 -3.000000000000000000e+00 6.260178509418545811e-01 4.520353968440956050e-01 1.739824540977589762e-01 9.548142724978612161e-01 8.872523834118752895e-01 1.756543512954946984e-01
-1.500000000000000000e+00 -3.000000000000000000e+00 4.381502179946784592e-01 1.989974874213238931e-01 2.391527305733545661e-01 9.824662826510870417e-01 9.487692611888935978e-01 9.299472478432509182e-02
-1.250000000000000000e+00 -3.000000000000000000e+00 2.806527121458265994e-01 1.989974874213240597e-01 8.165522472450253977e-02 9.921902713918200334e-01 9.719303299526691475e-01 7.906966944221477389e-02
-1.000000000000000000e+00 -3.000000000000000000e+00 2.958958367859263472e-01 1.544538766104629757e-01 1.414419601754633715e-01 9.962341695697461974e-01 9.798124471608726793e-01 6.898700214447076040e-02
-7.500000000000000000e-01 -3.000000000000000000e+00 2.267276458441353504e-01 1.544538766104634198e-01 7.227376923367193062e-02 9.980201349665515087e-01 9.842554027928561711e-01 6.667807009420412268e-02
-5.000000000000000000e-01 -3.000000000000000000e+00 1.841874463328550537e-01 0.000000000000000000e+00 1.841874463328550537e-01 9.986651587580146483e-01 9.941021190792754814e-01 2.202737114885139000e-02
-2.500000000000000000e-01 -3.000000000000000000e+00 1.526377528773233683e-01 8.935323161475478004e-02 6.328452126256858823e-02 9.987699743405058506e-01 9.941684760235260931e-01 2.943311818641437469e-02
0.000000000000000000e+00 -3.000000000000000000e+00 1.869123364997934689e-01 0.000000000000000000e+00 1.869123364997934689e-01 9.983610059118788183e-01 9.934612553992103745e-01 2.478249038196305570e-02
2.500000000000000000e-01 -3.000000000000000000e+00 2.278955870771588732e-01 8.935323161475475229e-02 1.385423554624041209e-01 9.968012463666551248e-01 9.883709956046576872e-01 4.064931482575118854e-02
