# position velocity action_std action_loc_std action_std_diff action_mean_p_0 action_p_0_mean action_p_0_std
-2.000000000000000000e+00 -3.000000000000000000e+00 9.671303958333979933e-01 9.927738916792685497e-01 -2.564349584587055642e-02 5.260312157378544962e-01 5.250615755421671471e-01 2.590570755280660609e-01
-1.750000000000000000e+00 -3.000000000000000000e+00 9.580325949417772824e-01 9.857869952479594300e-01 -2.775440030618214760e-02 5.895905017043295837e-01 5.667480688822658097e-01 2.689114452896445573e-01
-1.500000000000000000e+00 -3.000000000000000000e+00 9.487428971951837875e-01 9.599999999999977440e-01 -1.125710280481395653e-02 6.305149267705038030e-01 5.951437188652028976e-01 2.773567696230763158e-01
-1.250000000000000000e+00 -3.000000000000000000e+00 9.198045521504757405e-01 8.492443700137186635e-01 7.056018213675707695e-02 7.375843447503698247e-01 6.729081630427193872e-01 2.568816274453182280e-01
-1.000000000000000000e+00 -3.000000000000000000e+00 8.660421029285891859e-01 7.441612728434610080e-01 1.218808300851281778e-01 8.143428718766503316e-01 7.416531250276420240e-01 2.348246421333428091e-01
-7.500000000000000000e-01 -3.000000000000000000e+00 7.965939435571114391e-01 7.062124326291603360e-01 9.038151092795110308e-02 8.575105761874045607e-01 7.774997922354469626e-01 2.282035239871922916e-01
-5.000000000000000000e-01 -3.000000000000000000e+00 7.671699014202382205e-01 6.356225294937259962e-01 1.315473719265122243e-01 8.752183472790038277e-01 7.959338311495103291e-01 2.098950936079121143e-01
-2.500000000000000000e-01 -3.000000000000000000e+00 7.211491009583999023e-01 5.169758214849121680e-01 2.041732794734877343e-01 8.865953329929703308e-01 8.228617780158864470e-01 1.777458059821160619e-01
0.000000000000000000e+00 -3.000000000000000000e+00 7.620380724928909055e-01 5.607280981010314136e-01 2.013099743918594919e-01 8.815146557897265422e-01 8.139535258649006622e-01 1.884798960104532017e-01
2.500000000000000000e-01 -3.000000000000000000e+00 7.736226748472354586e-01 6.404498419080123517e-01 1.331728329392231069e-01 8.499177565799936884e-01 7.817857110568086076e-01 2.046393897044618271e-01
5.000000000000000000e-01 -3.000000000000000000e+00 8.496879598987153726e-01 6.726068688320091526e-01 1.770810910667062199e-01 8.079112155359841063e-01 7.443387994513265271e-01 2.052235101914452742e-01
7.500000000000000000e-01 -3.000000000000000000e+00 8.997481696994228395e-01 8.257747876994070424e-01 7.397338200001579711e-02 7.437891716203444137e-01 6.893581308249808748e-01 2.274106939935937044e-01
1.000000000000000000e+00 -3.000000000000000000e+00 9.281973940169135906e-01 8.837284650841611411e-01 4.446892893275244951e-02 6.900327529598734300e-01 6.475717811420834691e-01 2.409147994638656254e-01
1.250000000000000000e+00 -3.000000000000000000e+00 9.606776865024190259e-01 9.781288258711164918e-01 -1.745113936869746585e-02 5.876650467485740048e-01 5.663363956770987029e-01 2.623214164584868335e-01
1.500000000000000000e+00 -3.000000000000000000e+00 9.569281950940488057e-01 9.927738916792685497e-01 -3.584569658521974400e-02 5.545809787715173522e-01 5.401034644291559106e-01 2.669672417062503578e-01
1.750000000000000000e+00 -3.000000000000000000e+00 9.672391583428812112e-01 9.967948635501724386e-01 -2.955570520729122741e-02 4.788731893924352834e-01 4.833899091449235241e-01 2.658503078903834971e-01
2.000000000000000000e+00 -3.000000000000000000e+00 9.636780257475756617e-01 9.917741678426552632e-01 -2.809614209507960148e-02 4.471714976166664690e-01 4.559894528517924872e-01 2.602948445681579348e-01
-2.000000000000000000e+00 -2.750000000000000000e+00 9.621988755428323437e-01 9.772696659571535882e-01 -1.507079041432124455e-02 5.839842890035802370e-01 5.593966305985341725e-01 2.755553370935536206e-01
-1.750000000000000000e+00 -2.750000000000000000e+00 9.566378461255292676e-01 9.611576353543699325e-01 -4.519789228840664919e-03 6.240084650299491109e-01 5.879632043145458509e-01 2.826853954577396300e-01
-1.500000000000000000e+00 -2.750000000000000000e+00 9.407146862375457275e-01 9.216593730874758084e-01 1.905531315006991910e-02 6.939129178655654151e-01 6.374707510633443874e-01 2.896464237850169265e-01
-1.250000000000000000e+00 -2.750000000000000000e+00 8.642695333090318899e-01 8.029844332239551852e-01 6.128510008507670470e-02 8.049844748228108804e-01 7.272982231333205982e-01 2.486576408704181951e-01
-1.000000000000000000e+00 -2.750000000000000000e+00 8.073536644908305693e-01 7.218974996493616736e-01 8.545616484146889569e-02 8.668919126246255047e-01 7.802665229248032519e-01 2.425081265122704666e-01
-7.500000000000000000e-01 -2.750000000000000000e+00 7.043928726261777795e-01 5.547756303227429076e-01 1.496172423034348720e-01 9.105382230319764014e-01 8.339884097932429574e-01 1.976378819110208018e-01
-5.000000000000000000e-01 -2.750000000000000000e+00 6.393130664596097246e-01 4.275324549083941994e-01 2.117806115512155252e-01 9.303601204157347926e-01 8.657775102216928031e-01 1.652940699972202387e-01
-2.500000000000000000e-01 -2.750000000000000000e+00 6.384180088077541226e-01 3.725801927102404543e-01 2.658378160975136684e-01 9.396226899373067987e-01 8.846360165719071578e-01 1.394773960714725258e-01
0.000000000000000000e+00 -2.750000000000000000e+00 6.359513060767744141e-01 3.182703253525226983e-01 3.176809807242517159e-01 9.335964772085307839e-01 8.817543667749961900e-01 1.386744856218735944e-01
2.500000000000000000e-01 -2.750000000000000000e+00 6.794328870449650726e-01 4.823111029200987665e-01 1.971217841248663061e-01 9.019843309824532307e-01 8.363488520945492333e-01 1.713173589244789963e-01
5.000000000000000000e-01 -2.750000000000000000e+00 7.620231446477356840e-01 5.723635208501649529e-01 1.896596237975707311e-01 8.719990682103599955e-01 8.056836407503857878e-01 1.938455799628418796e-01
7.500000000000000000e-01 -2.750000000000000000e+00 8.330691625831793123e-01 7.369016216565116295e-01 9.616754092666768283e-02 8.059173426523275063e-01 7.407522921365103930e-01 2.154336551079074902e-01
1.000000000000000000e+00 -2.750000000000000000e+00 9.206166107271643861e-01 8.979977728257474423e-01 2.261883790141694384e-02 7.010177104015521410e-01 6.486578974755439209e-01 2.452547841593400169e-01
1.250000000000000000e+00 -2.750000000000000000e+00 9.447776651158411587e-01 9.526720317087126189e-01 -7.894366592871460142e-03 6.086470117741360486e-01 5.813432333051984369e-01 2.571295449182952608e-01
1.500000000000000000e+00 -2.750000000000000000e+00 9.619340496077328773e-01 9.999679994879853151e-01 -3.803394988025243784e-02 5.012205398586381255e-01 5.016240677087373534e-01 2.583573973878800500e-01
1.750000000000000000e+00 -2.750000000000000000e+00 9.620436964089770226e-01 9.974046320325530290e-01 -3.536093562357600639e-02 4.662981923631381309e-01 4.753242820913424205e-01 2.632372004630826878e-01
2.000000000000000000e+00 -2.750000000000000000e+00 9.593500872746709707e-01 9.895776877031929875e-01 -3.022760042852201678e-02 4.260294921744367524e-01 4.487209765262638594e-01 2.527444061446300072e-01
-2.000000000000000000e+00 -2.500000000000000000e+00 9.543411323434483062e-01 9.697752316903092140e-01 -1.543409934686090779e-02 5.985742511770321128e-01 5.710036133415796744e-01 2.839308364491993086e-01
-1.750000000000000000e+00 -2.500000000000000000e+00 9.034855347068364573e-01 8.999466650863291450e-01 3.538869620507312241e-03 7.144508595041755283e-01 6.529573164472477487e-01 2.707006854122879780e-01
-1.500000000000000000e+00 -2.500000000000000000e+00 8.872025819324935725e-01 8.416650165000310047e-01 4.553756543246256783e-02 7.898542389426528310e-01 7.104292771333742262e-01 2.719470059409193063e-01
-1.250000000000000000e+00 -2.500000000000000000e+00 7.823964495478623604e-01 7.101999718389164773e-01 7.219647770894588312e-02 8.624827266934795844e-01 7.775340101962886497e-01 2.448795841630826975e-01
-1.000000000000000000e+00 -2.500000000000000000e+00 6.745755688619777812e-01 6.105210889068425351e-01 6.405447995513524617e-02 9.231075094454762597e-01 8.334753929321261356e-01 2.204126588328983727e-01
-7.500000000000000000e-01 -2.500000000000000000e+00 6.451789660507818436e-01 4.749736834815165287e-01 1.702052825692653149e-01 9.432842996434294136e-01 8.714990833410116711e-01 1.762859276984413970e-01
-5.000000000000000000e-01 -2.500000000000000000e+00 5.512215354699437908e-01 3.624582734605459322e-01 1.887632620093978586e-01 9.621083543373952773e-01 9.056016171565538508e-01 1.354815490425116120e-01
-2.500000000000000000e-01 -2.500000000000000000e+00 5.450897799228463514e-01 3.182703253525233089e-01 2.268194545703230425e-01 9.644181454247315877e-01 9.180256279595315760e-01 1.267687183027569331e-01
0.000000000000000000e+00 -2.500000000000000000e+00 5.343919429331051019e-01 2.659022376739255122e-01 2.684897052591795896e-01 9.610851297434381824e-01 9.172708830515444722e-01 1.176389708690559893e-01
2.500000000000000000e-01 -2.500000000000000000e+00 6.420696175709060816e-01 2.800000000000006373e-01 3.620696175709054443e-01 9.439539029914510992e-01 8.951987436259389863e-01 1.309805349535183294e-01
5.000000000000000000e-01 -2.500000000000000000e+00 7.097479798257231298e-01 4.965641952456916752e-01 2.131837845800314546e-01 8.977909348353126928e-01 8.360574787148721265e-01 1.714188796751647537e-01
7.500000000000000000e-01 -2.500000000000000000e+00 8.146377952993131277e-01 6.813046308370414028e-01 1.333331644622717249e-01 8.366156623113543134e-01 7.662549034093492084e-01 2.143135297378614135e-01
1.000000000000000000e+00 -2.500000000000000000e+00 8.928460279003700428e-01 7.877461520058344213e-01 1.050998758945356215e-01 7.615025570170518288e-01 7.025108923153133844e-01 2.305052328603865996e-01
1.250000000000000000e+00 -2.500000000000000000e+00 9.277092213594253511e-01 9.622972513729856070e-01 -3.458803001356025586e-02 6.226746699339466007e-01 5.919409662853279963e-01 2.552161672271623938e-01
1.500000000000000000e+00 -2.500000000000000000e+00 9.676195803834832798e-01 1.000000000000000000e+00 -3.238041961651672018e-02 4.963003988103354414e-01 4.951631060602595946e-01 2.635982741548005270e-01
1.750000000000000000e+00 -2.500000000000000000e+00 9.616432845253279904e-01 9.949874371066186329e-01 -3.334415258129064252e-02 4.581912880611742622e-01 4.680216794177111672e-01 2.596411789568358053e-01
