# position velocity action_std action_loc_std action_std_diff action_mean_p_0 action_p_0_mean action_p_0_std
-2.000000000000000000e+00 -3.000000000000000000e+00 9.575448839270870316e-01 9.797958971132678663e-01 -2.225101318618083468e-02 6.151217966379413093e-01 5.799077793785890611e-01 2.728623570173673296e-01
-1.750000000000000000e+00 -3.000000000000000000e+00 9.290310790066031998e-01 9.359999999999957243e-01 -6.968920993392524466e-03 6.980312589488187891e-01 6.382623392003323737e-01 2.732933088524877041e-01
-1.500000000000000000e+00 -3.000000000000000000e+00 8.703319539914383673e-01 7.939370252104368531e-01 7.639492878100151430e-02 7.985011033206264042e-01 7.243789347730303918e-01 2.515999388102930778e-01
-1.250000000000000000e+00 -3.000000000000000000e+00 7.705571312888588320e-01 6.591631057636683222e-01 1.113940255251905098e-01 8.753128653869132192e-01 7.923282051886527677e-01 2.167849496758672556e-01
-1.000000000000000000e+00 -3.000000000000000000e+00 7.143724012176587701e-01 4.965641952456921193e-01 2.178082059719666508e-01 9.255397558765597887e-01 8.561897488743253071e-01 1.852174396710671300e-01
-7.500000000000000000e-01 -3.000000000000000000e+00 6.095254676749025657e-01 3.823924685450784677e-01 2.271329991298240980e-01 9.471374779172496705e-01 8.854250063114413871e-01 1.571142437598819497e-01
-5.000000000000000000e-01 -3.000000000000000000e+00 5.551133068467687393e-01 3.624582734605462653e-01 1.926550333862224740e-01 9.633818478513779260e-01 9.147327098311338611e-01 1.333805577343151749e-01
-2.500000000000000000e-01 -3.000000000000000000e+00 5.218395812754734742e-01 1.781684596105610197e-01 3.436711216649124268e-01 9.675125702417620710e-01 9.304143707915908390e-01 1.010554635511434762e-01
0.000000000000000000e+00 -3.000000000000000000e+00 5.517514409813389920e-01 3.411744421846383268e-01 2.105769987967006651e-01 9.618202988900068640e-01 9.153789381163746075e-01 1.335684006776200750e-01
2.500000000000000000e-01 -3.000000000000000000e+00 6.093452346256338359e-01 4.358898943540686077e-01 1.734553402715652282e-01 9.410741175306001072e-01 8.831187595421595704e-01 1.579314220231888832e-01
5.000000000000000000e-01 -3.000000000000000000e+00 7.684475108042244651e-01 5.235417843878391597e-01 2.449057264163853054e-01 9.083776882263886465e-01 8.399883809573510662e-01 1.790508189661718652e-01
7.500000000000000000e-01 -3.000000000000000000e+00 7.219441819905355606e-01 6.207608235061257140e-01 1.011833584844098466e-01 8.619070029781589204e-01 7.960919813172304682e-01 1.989055090121355507e-01
1.000000000000000000e+00 -3.000000000000000000e+00 8.830936948226002503e-01 8.088609274776482616e-01 7.423276734495198870e-02 7.742561080231173953e-01 7.076048809662561778e-01 2.334178044068792868e-01
