# Z qmu qsqrt 2qsqrt
7.392181157796334778e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-6.598387935809388316e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.537669626983223625e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.096976419403324909e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.632364840332050759e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.805612318361390245e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.033968248692876679e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.598181808403362561e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.253769535254133149e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.677516956109913915e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
